Frame,Chain,MgID,ListResids,ListResnames,ListAtoms
1648,PP1,323,5,POPE, O14
1649,PP1,310,60,POPE, O13
1649,PP1,323,5,POPE, O14
1650,PP1,310,60,POPE, O13
1650,PP1,323,5,POPE, O14
1651,PP1,310,60,POPE, O13
1651,PP1,323,5,POPE, O14
1652,PP1,310,60,POPE, O13
1652,PP1,323,5,POPE, O14
1653,PP1,310,60,POPE, O13
1653,PP1,323,5,POPE, O14
1654,PP1,310,60,POPE, O13
1654,PP1,323,5,POPE, O14
1655,PP1,310,60,POPE, O13
1655,PP1,323,5,POPE, O14
1656,PP1,310,60,POPE, O13
1656,PP1,323,5,POPE, O14
1657,PP1,310,60,POPE, O13
1657,PP1,323,5,POPE, O14
1658,PP1,310,60,POPE, O13
1658,PP1,323,5,POPE, O14
1659,PP1,310,60,POPE, O13
1659,PP1,323,5,POPE, O14
1660,PP1,310,60,POPE, O13
1660,PP1,323,5,POPE, O14
1661,PP1,310,60,POPE, O13
1661,PP1,323,5,POPE, O14
1662,PP1,310,60,POPE, O13
1662,PP1,323,5,POPE, O14
1663,PP1,310,60,POPE, O13
1663,PP1,323,5,POPE, O14
1664,PP1,310,60,POPE, O13
1664,PP1,323,5,POPE, O14
1665,PP1,310,60,POPE, O13
1665,PP1,323,5,POPE, O14
1666,PP1,310,60,POPE, O13
1666,PP1,323,5,POPE, O14
1667,PP1,310,60,POPE, O13
1667,PP1,323,5,POPE, O14
1668,PP1,310,60,POPE, O13
1668,PP1,323,5,POPE, O14
1669,PP1,310,60,POPE, O13
1669,PP1,323,5,POPE, O14
1670,PP1,310,60,POPE, O13
1670,PP1,323,5,POPE, O14
1671,PP1,310,60,POPE, O13
1671,PP1,323,5,POPE, O14
1672,PP1,310,60,POPE, O13
1672,PP1,323,5,POPE, O14
1673,PP1,310,60,POPE, O13
1673,PP1,323,5,POPE, O14
1674,PP1,310,60,POPE, O13
1674,PP1,323,5,POPE, O14
1675,PP1,310,60,POPE, O13
1675,PP1,323,5,POPE, O14
1676,PP1,310,60,POPE, O13
1676,PP1,323,5,POPE, O14
1677,PP1,310,60,POPE, O13
1677,PP1,323,5,POPE, O14
1678,PP1,310,60,POPE, O13
1678,PP1,323,5,POPE, O14
1679,PP1,310,60,POPE, O13
1679,PP1,323,5,POPE, O14
1680,PP1,310,60,POPE, O13
1680,PP1,323,5,POPE, O14
1681,PP1,310,60,POPE, O13
1681,PP1,323,5,POPE, O14
1682,PP1,310,60,POPE, O13
1682,PP1,323,5,POPE, O14
1683,PP1,310,60,POPE, O13
1683,PP1,323,5,POPE, O14
1684,PP1,310,60,POPE, O13
1684,PP1,323,5,POPE, O14
1685,PP1,310,60,POPE, O13
1685,PP1,323,5,POPE, O14
1686,PP1,310,60,POPE, O13
1686,PP1,323,5,POPE, O14
1687,PP1,310,60,POPE, O13
1687,PP1,323,5,POPE, O14
1688,PP1,310,60,POPE, O13
1688,PP1,323,5,POPE, O14
1689,PP1,310,60,POPE, O13
1689,PP1,323,5,POPE, O14
1690,PP1,310,60,POPE, O13
1690,PP1,323,5,POPE, O14
1691,PP1,310,60,POPE, O13
1691,PP1,323,5,POPE, O14
1692,PP1,310,60,POPE, O13
1692,PP1,323,5,POPE, O14
1693,PP1,310,60,POPE, O13
1693,PP1,323,5,POPE, O14
1694,PP1,310,60,POPE, O13
1694,PP1,323,5,POPE, O14
1695,PP1,310,60,POPE, O13
1695,PP1,323,5,POPE, O14 P
1696,PP1,310,60,POPE, O13
1696,PP1,323,5,POPE, O14
1697,PP1,310,60,POPE, O13
1697,PP1,323,5,POPE, O14
1698,PP1,310,60,POPE, O13
1698,PP1,323,5,POPE, O14
1699,PP1,310,60,POPE, O13
1699,PP1,323,5,POPE, O14
1700,PP1,310,60,POPE, O13
1700,PP1,323,5,POPE, O14
1701,PP1,310,60,POPE, O13
1701,PP1,323,5,POPE, O14
1702,PP1,310,60,POPE, O13
1702,PP1,323,5,POPE, O14
1703,PP1,310,60,POPE, O13
1703,PP1,323,5,POPE, O14
1704,PP1,310,60,POPE, O13
1704,PP1,323,5,POPE, O14
1705,PP1,310,60,POPE, O13
1705,PP1,323,5,POPE, O14
1706,PP1,310,60,POPE, O13
1706,PP1,323,5,POPE, O14
1707,PP1,310,60,POPE, O13
1707,PP1,323,5,POPE, O14
1708,PP1,310,60,POPE, O13
1708,PP1,323,5,POPE, O14
1709,PP1,310,60,POPE, O13
1709,PP1,323,5,POPE, O14
1710,PP1,310,60,POPE, O13
1710,PP1,323,5,POPE, O14
1711,PP1,310,60,POPE, O13
1711,PP1,323,5,POPE, O14
1712,PP1,310,60,POPE, O13
1712,PP1,323,5,POPE, O14
1713,PP1,310,60,POPE, O13
1713,PP1,323,5,POPE, O14
1714,PP1,310,60,POPE, O13
1714,PP1,323,5,POPE, O14
1715,PP1,310,60,POPE, O13
1715,PP1,323,5,POPE, O14
1716,PP1,310,60,POPE, O13
