Frame,Chain,MgID,WaterID,ListResids,ListResnames,ListAtoms
83,PP1,323,5514,,, 
83,PP1,323,5539,5,POPE, O14
83,PP1,323,5586,5,POPE, HN1 O12 O14
84,PP1,310,3739,59 74,POPE, HN2 O12 O14 P
84,PP1,310,4054,60,POPE, O13
84,PP1,310,4452,59 60,POPE, O13 O14 P
84,PP1,323,5514,,, 
84,PP1,323,5539,5,POPE, O14
84,PP1,323,5586,5,POPE, O14
85,PP1,310,3739,,, 
85,PP1,310,4054,60,POPE, O13
85,PP1,310,4452,59 60,POPE, O13 O14 P
85,PP1,323,5514,,, 
85,PP1,323,5539,5,POPE, O14
85,PP1,323,5586,5,POPE, O14
86,PP1,310,3739,59 74,POPE, HN1 HN2 HN3 N O13 O14
86,PP1,310,4054,53 59 60,POPE, HN1 O11 O13 P
86,PP1,310,4452,59 60 74,POPE, HN2 O11 O12 O13 O14 P
86,PP1,323,5514,,, 
86,PP1,323,5539,5,POPE, O14
86,PP1,323,5586,5,POPE, O14
87,PP1,310,3739,104 59 74,POPE, HN3 O13 O14
87,PP1,310,4054,53 59 60,POPE, O11 O13 O14 P
87,PP1,310,4452,59 60 74,POPE, O11 O13 O14 P
87,PP1,323,5514,,, 
87,PP1,323,5539,5,POPE, O12 O14
87,PP1,323,5586,5,POPE, O14
88,PP1,310,3739,59 74,POPE, HN3 O14
88,PP1,310,4054,53 59 60,POPE, O11 O13 O14 P
88,PP1,310,4452,59 60 74,POPE, O11 O13 O14 P
88,PP1,323,5514,,, 
88,PP1,323,5539,5,POPE, O12 O14
88,PP1,323,5586,5,POPE, O14
89,PP1,310,3739,59 74,POPE, HN1 HN2 O14
89,PP1,310,4054,53 59 60,POPE, O13 O14 P
89,PP1,310,4452,59 60 74,POPE, O11 O12 O13 O14 P
89,PP1,323,5514,,, 
89,PP1,323,5539,5,POPE, O14
89,PP1,323,5586,5,POPE, O14
90,PP1,310,3739,59 74,POPE, HN1 HN3 O11 O12 O14 P
90,PP1,310,4054,53 59 60,POPE, O13 O14 P
90,PP1,310,4452,59 60 74,POPE, O11 O13 O14 P
90,PP1,323,5514,,, 
